Name,X,Y,Angle,Value,Package
ANT1,19.66,2.49,0.00,2450AT18B100E,2450AT18B100E_ANTC3216X140N
C1-EP-DR,-9.92,1.30,180.00,10uF,NORDIC_NRF_3_RESC0402_L
C10,15.83,6.48,180.00,N.C.,NORDIC_NRF_3_RESC0201_L
C11,14.73,4.57,90.00,100pF,NORDIC_NRF_3_RESC0201_L
C12,11.88,6.28,180.00,100nF,NORDIC_NRF_3_RESC0201_L
C13,11.82,5.52,180.00,N.C.,NORDIC_NRF_3_RESC0201_L
C14,11.60,7.17,180.00,4.7uF,PERFECT_0402_0402
C15,15.59,5.58,180.00,1uF,NORDIC_NRF_3_RESC0402_L
C16,9.21,6.29,90.00,47nF,PERFECT_0402_0402
C17,2.70,4.22,90.00,12pF,NORDIC_NRF_3_RESC0201_L
C18,2.72,2.23,270.00,12pF,NORDIC_NRF_3_RESC0201_L
C19,-1.42,-0.50,90.00,100nF,NORDIC_NRF_3_RESC0201_L
C2-EP-DR,-17.23,-10.47,270.00,4.7uF/25V,NORDIC_NRF_3_RESC0402_L
C20,5.58,-1.05,180.00,4.7uF,PERFECT_0402_0402
C21,6.73,-3.84,270.00,4.7uF,PERFECT_0402_0402
C22,16.80,3.00,90.00,N.C.,NORDIC_NRF_3_RESC0201_L
C23,-1.87,-9.07,270.00,0.1uF,NORDIC_NRF_3_RESC0201_L
C24,-2.73,-8.80,270.00,10uF,NORDIC_NRF_3_RESC0402_N
C25,-9.51,-9.72,180.00,22uF,NORDIC_NRF_3_RESC0402_N
C27,-6.94,-3.29,0.00,0.1uF,NORDIC_NRF_3_RESC0201_L
C29,7.96,-16.41,90.00,1uF,NORDIC_NRF_3_RESC0402_L
C3,14.65,3.00,270.00,1pF,NORDIC_NRF_3_RESC0201_L
C30,-14.65,-15.66,0.00,1uF,NORDIC_NRF_3_RESC0402_L
C31,-2.94,-14.22,90.00,1uF,NORDIC_NRF_3_RESC0402_L
C32,-8.66,2.68,270.00,1uF,NORDIC_NRF_3_RESC0402_L
C33,-9.51,-8.72,180.00,22uF,NORDIC_NRF_3_RESC0402_N
C34,7.11,-16.07,90.00,0.1uF,NORDIC_NRF_3_RESC0201_L
C37,-7.48,-4.16,0.00,1uF,NORDIC_NRF_3_RESC0402_N
C38,5.67,-3.89,90.00,1uF,NORDIC_NRF_3_RESC0402_N
C39,-3.81,-8.81,90.00,10uF,PERFECT_0402_0402
C4,16.07,3.00,90.00,1pF,NORDIC_NRF_3_RESC0201_L
C42,2.66,8.76,90.00,0.1uF,GRM011R60J152KE01L_1_0201
C43,3.18,9.73,0.00,4.7uF,NORDIC_NRF_3_RESC0603_N
C5,6.88,4.17,90.00,100nF,NORDIC_NRF_3_RESC0201_L
C6,11.60,8.22,180.00,4.7uF,PERFECT_0402_0402
C7,11.43,9.32,90.00,100nF,NORDIC_NRF_3_RESC0201_L
C8,12.13,9.32,90.00,100nF,NORDIC_NRF_3_RESC0201_L
C9,14.70,0.72,270.00,820pF,NORDIC_NRF_3_RESC0201_L
D2,-20.25,-11.61,180.00,MBR0530,ESP32_C6_LIBRARY_5_SOD3716X135N
D3,-0.42,7.49,270.00,USBLC6-2SC6Y,ESP32_C6_LIBRARY_3_SOT95P280X145-6N
D4,-18.98,-13.89,0.00,MBR0530,ESP32_C6_LIBRARY_5_SOD3716X135N
D5,-19.73,-8.34,0.00,MBR0530,ESP32_C6_LIBRARY_5_SOD3716X135N
DMG2305UX-7,-5.88,-15.26,0.00,20V/4.2A/52mΩ/1.4W,ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_WROVER_SPARKFUN-DISCRETESEMI_SOT23-3
